USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  23504 14808 ?        Ss   15:49   0:04 /sbin/init splash --- auto automatic-ubiquity noprompt
root          73  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/39-pciehp]
root          74  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/40-pciehp]
root          75  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/41-pciehp]
root          76  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/42-pciehp]
root          77  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/43-pciehp]
root          78  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/44-pciehp]
root          79  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/45-pciehp]
root          80  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/46-pciehp]
root          81  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/47-pciehp]
root          82  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/48-pciehp]
root          83  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/49-pciehp]
root          84  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/50-pciehp]
root          85  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/51-pciehp]
root          86  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/52-pciehp]
root          87  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/53-pciehp]
root          88  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/54-pciehp]
root          89  0.0  0.0      0     0 ?        S    15:49   0:00 [irq/55-pciehp]
root          90  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-acpi_thermal_pm]
root          91  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_0]
root          92  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_0]
root          93  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_1]
root          94  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_1]
root          98  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-mld]
root         100  0.0  0.0      0     0 ?        I<   15:49   0:02 [kworker/1:1H-kblockd]
root         101  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-ipv6_addrconf]
root         102  0.0  0.0      0     0 ?        I    15:49   0:00 [kworker/u512:1-ipv6_addrconf]
root         111  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-kstrp]
root         113  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/u515:0]
root         120  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-cryptd]
root         129  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-charger_manager]
root         178  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-mpt_poll_0]
root         179  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-mpt/0]
root         180  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_2]
root         181  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_2]
root         182  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_3]
root         183  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_3]
root         184  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_4]
root         185  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_4]
root         186  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_5]
root         187  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_5]
root         188  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_6]
root         189  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_6]
root         190  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_7]
root         191  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_7]
root         192  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_8]
root         193  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_8]
root         194  0.0  0.0      0     0 ?        S    15:49   0:00 [scsi_eh_9]
root         195  0.0  0.0      0     0 ?        I<   15:49   0:00 [kworker/R-scsi_tmf_9]
